Team,Side,Playbook,Formation,Play Name
Bears,defense,Playbook 5,46,Rush
Bears,defense,Playbook 5,46,Sugar 3-2
Bears,defense,Playbook 5,46,5-3
Bears,defense,Playbook 5,46,6-2
Bears,defense,Playbook 5,46,3 Deep
Bears,defense,Playbook 6,Nickel,Double Mug
Bears,defense,Playbook 6,Nickel,Over
Bears,defense,Playbook 6,Nickel,Wide
Bears,defense,Playbook 6,Nickel,Over G
Bears,defense,Playbook 6,Nickel,Rush
Bears,defense,Playbook 6,Nickel,Sugar 3-2
Bears,defense,Playbook 6,Nickel,5-3
Bears,defense,Playbook 6,Nickel,6-2
Bears,defense,Playbook 6,Nickel,3 Deep
Bears,defense,Playbook 7,Big Nickel,Over G
Bears,defense,Playbook 7,Big Nickel,Rush
Bears,defense,Playbook 7,Big Nickel,Sugar 3-2
Bears,defense,Playbook 7,Big Nickel,5-3
Bears,defense,Playbook 7,Big Nickel,6-2
Bears,defense,Playbook 7,Big Nickel,3 Deep
Bears,defense,Playbook 8,Dime,Rush
Bears,defense,Playbook 8,Dime,Sugar 3-2
Bears,defense,Playbook 8,Dime,5-3
Bears,defense,Playbook 8,Dime,6-2
Bears,defense,Playbook 8,Dime,3 Deep
Bears,defense,Playbook 9,Dollar,Sugar 3-2
Bears,defense,Playbook 9,Dollar,5-3
Bears,defense,Playbook 9,Dollar,6-2
Bears,defense,Playbook 9,Dollar,3 Deep
Bears,defense,Playbook 10,Goal Line Defense,5-3
Bears,defense,Playbook 10,Goal Line Defense,6-2
Bears,defense,Playbook 10,Goal Line Defense,3 Deep
Bears,defense,Playbook 11,Prevent,3 Deep
Bengals,offense,Playbook 4,Singleback,Bunch X Nasty
Bengals,offense,Playbook 4,Singleback,Deuce Close
Bengals,offense,Playbook 4,Singleback,Tight Y Off
Bengals,offense,Playbook 4,Singleback,U Off Trips
Bengals,offense,Playbook 4,Singleback,Wing Flex Close
Bengals,offense,Playbook 4,Singleback,Wing Pair
Bengals,offense,Playbook 4,Singleback,Wing Tight Z
Bengals,offense,Playbook 4,Singleback,Bunch Offset
Bengals,offense,Playbook 4,Singleback,Bunch Quads
Bengals,offense,Playbook 4,Singleback,Bunch Str Nasty
Bengals,offense,Playbook 4,Singleback,Doubles
Bengals,offense,Playbook 4,Singleback,Doubles Offset Wk
Bengals,offense,Playbook 4,Singleback,Empty Bunch Wide
Bengals,offense,Playbook 4,Singleback,Empty Chips
Bengals,offense,Playbook 4,Singleback,Empty Hb Wide
Bengals,offense,Playbook 4,Singleback,Empty Trips Speed
Bengals,offense,Playbook 4,Singleback,Split Slot Open
Bengals,offense,Playbook 4,Singleback,Split Y Off
Bengals,offense,Playbook 4,Singleback,Spread Y-Flex
Bengals,offense,Playbook 4,Singleback,Spread Y-Slot Wk
Bengals,offense,Playbook 4,Singleback,Tight Slots
Bengals,offense,Playbook 4,Singleback,Tight Y Off
Bengals,offense,Playbook 4,Singleback,Tight Y Off Wk
Bengals,offense,Playbook 4,Singleback,Trey Open
Bengals,offense,Playbook 4,Singleback,Trey Y-Flex
Bengals,offense,Playbook 4,Singleback,U Off Trips Wk
Bengals,offense,Playbook 4,Singleback,Wing Slot Offset
Bengals,offense,Playbook 4,Singleback,Y Trips Wk
Bengals,offense,Playbook 4,Singleback,Normal
Bengals,offense,Playbook 5,Shotgun,Bunch Offset
Bengals,offense,Playbook 5,Shotgun,Bunch Quads
Bengals,offense,Playbook 5,Shotgun,Bunch Str Nasty
Bengals,offense,Playbook 5,Shotgun,Doubles
Bengals,offense,Playbook 5,Shotgun,Doubles Offset Wk
Bengals,offense,Playbook 5,Shotgun,Empty Bunch Wide
Bengals,offense,Playbook 5,Shotgun,Empty Chips
Bengals,offense,Playbook 5,Shotgun,Empty Hb Wide
Bengals,offense,Playbook 5,Shotgun,Empty Trips Speed
Bengals,offense,Playbook 5,Shotgun,Split Slot Open
Bengals,offense,Playbook 5,Shotgun,Split Y Off
Bengals,offense,Playbook 5,Shotgun,Spread Y-Flex
Bengals,offense,Playbook 5,Shotgun,Spread Y-Slot Wk
Bengals,offense,Playbook 5,Shotgun,Tight Slots
Bengals,offense,Playbook 5,Shotgun,Tight Y Off
Bengals,offense,Playbook 5,Shotgun,Tight Y Off Wk
Bengals,offense,Playbook 5,Shotgun,Trey Open
Bengals,offense,Playbook 5,Shotgun,Trey Y-Flex
Bengals,offense,Playbook 5,Shotgun,U Off Trips Wk
Bengals,offense,Playbook 5,Shotgun,Wing Slot Offset
Bengals,offense,Playbook 5,Shotgun,Y Trips Wk
Bengals,offense,Playbook 5,Shotgun,Normal
Bengals,offense,Playbook 6,Goal Line Offense,Normal
Bengals,defense,Playbook 4,3-4,Under
Bengals,defense,Playbook 4,3-4,Over
Bengals,defense,Playbook 4,3-4,Over Solid
Bengals,defense,Playbook 4,3-4,Over Wide
Bengals,defense,Playbook 4,3-4,Normal
Bengals,defense,Playbook 4,3-4,Double Mug
Bengals,defense,Playbook 4,3-4,Over
Bengals,defense,Playbook 4,3-4,Wide
Bengals,defense,Playbook 4,3-4,Normal
Bengals,defense,Playbook 4,3-4,Sugar 3-2
Bengals,defense,Playbook 4,3-4,5-3
Bengals,defense,Playbook 4,3-4,6-2
Bengals,defense,Playbook 4,3-4,3 Deep
Bengals,defense,Playbook 5,4-3,Over
Bengals,defense,Playbook 5,4-3,Over Solid
Bengals,defense,Playbook 5,4-3,Over Wide
Bengals,defense,Playbook 5,4-3,Normal
Bengals,defense,Playbook 5,4-3,Double Mug
Bengals,defense,Playbook 5,4-3,Over
Bengals,defense,Playbook 5,4-3,Wide
Bengals,defense,Playbook 5,4-3,Normal
Bengals,defense,Playbook 5,4-3,Sugar 3-2
Bengals,defense,Playbook 5,4-3,5-3
Bengals,defense,Playbook 5,4-3,6-2
Bengals,defense,Playbook 5,4-3,3 Deep
Bengals,defense,Playbook 6,46,Normal
Bengals,defense,Playbook 6,46,Double Mug
Bengals,defense,Playbook 6,46,Over
Bengals,defense,Playbook 6,46,Wide
Bengals,defense,Playbook 6,46,Normal
Bengals,defense,Playbook 6,46,Sugar 3-2
Bengals,defense,Playbook 6,46,5-3
Bengals,defense,Playbook 6,46,6-2
Bengals,defense,Playbook 6,46,3 Deep
Bengals,defense,Playbook 7,Nickel,Double Mug
Bengals,defense,Playbook 7,Nickel,Over
Bengals,defense,Playbook 7,Nickel,Wide
Bengals,defense,Playbook 7,Nickel,Normal
Bengals,defense,Playbook 7,Nickel,Sugar 3-2
Bengals,defense,Playbook 7,Nickel,5-3
Bengals,defense,Playbook 7,Nickel,6-2
Bengals,defense,Playbook 7,Nickel,3 Deep
Bengals,defense,Playbook 8,Dime,Normal
Bengals,defense,Playbook 8,Dime,Sugar 3-2
Bengals,defense,Playbook 8,Dime,5-3
Bengals,defense,Playbook 8,Dime,6-2
Bengals,defense,Playbook 8,Dime,3 Deep
Bengals,defense,Playbook 9,Dollar,Sugar 3-2
Bengals,defense,Playbook 9,Dollar,5-3
Bengals,defense,Playbook 9,Dollar,6-2
Bengals,defense,Playbook 9,Dollar,3 Deep
Bengals,defense,Playbook 10,Goal Line Defense,5-3
Bengals,defense,Playbook 10,Goal Line Defense,6-2
Bengals,defense,Playbook 10,Goal Line Defense,3 Deep
Bengals,defense,Playbook 11,Prevent,3 Deep
Bills,offense,Playbook 4,Singleback,Bunch Te
Bills,offense,Playbook 4,Singleback,Deuce Close
Bills,offense,Playbook 4,Singleback,Doubles
Bills,offense,Playbook 4,Singleback,Doubles Y Off Close
Bills,offense,Playbook 4,Singleback,Wing
Bills,offense,Playbook 4,Singleback,Wing Pair
Bills,offense,Playbook 4,Singleback,Wing Slot
Bills,offense,Playbook 4,Singleback,Wing Tight
Bills,offense,Playbook 4,Singleback,Open Flex Close
Bills,offense,Playbook 4,Singleback,Bunch X Nasty
Bills,offense,Playbook 4,Singleback,Doubles Z Close Wk
Bills,offense,Playbook 4,Singleback,Empty Base Flex
Bills,offense,Playbook 4,Singleback,Empty Chips
Bills,offense,Playbook 4,Singleback,Empty Y Slot
Bills,offense,Playbook 4,Singleback,Normal Y Off
Bills,offense,Playbook 4,Singleback,Normal Y Off Close
Bills,offense,Playbook 4,Singleback,Split Slot Open
Bills,offense,Playbook 4,Singleback,Split Wr Backfield
Bills,offense,Playbook 4,Singleback,Spread Y-Flex
Bills,offense,Playbook 4,Singleback,Tight
Bills,offense,Playbook 4,Singleback,Trey Y-Flex
Bills,offense,Playbook 4,Singleback,Trips Hb Wk
Bills,offense,Playbook 4,Singleback,Trips Te
Bills,offense,Playbook 4,Singleback,Y Off Trips Pats
Bills,offense,Playbook 4,Singleback,Y Off Trips Wk
Bills,offense,Playbook 4,Singleback,Pro
Bills,offense,Playbook 4,Singleback,Slot
Bills,offense,Playbook 4,Singleback,Tight
Bills,offense,Playbook 4,Singleback,Z Close
Bills,offense,Playbook 4,Singleback,Normal
Bills,offense,Playbook 5,Pistol,Open Flex Close
Bills,offense,Playbook 5,Pistol,Bunch X Nasty
Bills,offense,Playbook 5,Pistol,Doubles Z Close Wk
Bills,offense,Playbook 5,Pistol,Empty Base Flex
Bills,offense,Playbook 5,Pistol,Empty Chips
Bills,offense,Playbook 5,Pistol,Empty Y Slot
Bills,offense,Playbook 5,Pistol,Normal Y Off
Bills,offense,Playbook 5,Pistol,Normal Y Off Close
Bills,offense,Playbook 5,Pistol,Split Slot Open
Bills,offense,Playbook 5,Pistol,Split Wr Backfield
Bills,offense,Playbook 5,Pistol,Spread Y-Flex
Bills,offense,Playbook 5,Pistol,Tight
Bills,offense,Playbook 5,Pistol,Trey Y-Flex
Bills,offense,Playbook 5,Pistol,Trips Hb Wk
Bills,offense,Playbook 5,Pistol,Trips Te
Bills,offense,Playbook 5,Pistol,Y Off Trips Pats
Bills,offense,Playbook 5,Pistol,Y Off Trips Wk
Bills,offense,Playbook 5,Pistol,Pro
Bills,offense,Playbook 5,Pistol,Slot
Bills,offense,Playbook 5,Pistol,Tight
Bills,offense,Playbook 5,Pistol,Z Close
Bills,offense,Playbook 5,Pistol,Normal
Bills,offense,Playbook 6,Shotgun,Bunch X Nasty
Bills,offense,Playbook 6,Shotgun,Doubles Z Close Wk
Bills,offense,Playbook 6,Shotgun,Empty Base Flex
Bills,offense,Playbook 6,Shotgun,Empty Chips
Bills,offense,Playbook 6,Shotgun,Empty Y Slot
Bills,offense,Playbook 6,Shotgun,Normal Y Off
Bills,offense,Playbook 6,Shotgun,Normal Y Off Close
Bills,offense,Playbook 6,Shotgun,Split Slot Open
Bills,offense,Playbook 6,Shotgun,Split Wr Backfield
Bills,offense,Playbook 6,Shotgun,Spread Y-Flex
Bills,offense,Playbook 6,Shotgun,Tight
Bills,offense,Playbook 6,Shotgun,Trey Y-Flex
Bills,offense,Playbook 6,Shotgun,Trips Hb Wk
Bills,offense,Playbook 6,Shotgun,Trips Te
Bills,offense,Playbook 6,Shotgun,Y Off Trips Pats
Bills,offense,Playbook 6,Shotgun,Y Off Trips Wk
Bills,offense,Playbook 6,Shotgun,Pro
Bills,offense,Playbook 6,Shotgun,Slot
Bills,offense,Playbook 6,Shotgun,Tight
Bills,offense,Playbook 6,Shotgun,Z Close
Bills,offense,Playbook 6,Shotgun,Normal
Bills,offense,Playbook 7,I Form,Pro
Bills,offense,Playbook 7,I Form,Slot
Bills,offense,Playbook 7,I Form,Tight
Bills,offense,Playbook 7,I Form,Z Close
Bills,offense,Playbook 7,I Form,Normal
Bills,offense,Playbook 8,Strong I,Z Close
Bills,offense,Playbook 8,Strong I,Normal
Bills,offense,Playbook 9,Goal Line Offense,Normal
Bills,defense,Playbook 4,4-3,Over
Bills,defense,Playbook 4,4-3,Over Solid
Bills,defense,Playbook 4,4-3,2-4 Dbl Mug
Bills,defense,Playbook 4,4-3,3-3 Cub
Bills,defense,Playbook 4,4-3,3-3 Will
Bills,defense,Playbook 4,4-3,Over G
Bills,defense,Playbook 4,4-3,Under
Bills,defense,Playbook 4,4-3,Normal
Bills,defense,Playbook 4,4-3,5-3
Bills,defense,Playbook 4,4-3,6-2
Bills,defense,Playbook 4,4-3,3 Deep
Bills,defense,Playbook 5,Nickel,2-4 Dbl Mug
Bills,defense,Playbook 5,Nickel,3-3 Cub
Bills,defense,Playbook 5,Nickel,3-3 Will
Bills,defense,Playbook 5,Nickel,Over G
Bills,defense,Playbook 5,Nickel,Under
Bills,defense,Playbook 5,Nickel,Normal
Bills,defense,Playbook 5,Nickel,5-3
Bills,defense,Playbook 5,Nickel,6-2
Bills,defense,Playbook 5,Nickel,3 Deep
Bills,defense,Playbook 6,Big Nickel,Over G
Bills,defense,Playbook 6,Big Nickel,Under
Bills,defense,Playbook 6,Big Nickel,Normal
Bills,defense,Playbook 6,Big Nickel,5-3
Bills,defense,Playbook 6,Big Nickel,6-2
Bills,defense,Playbook 6,Big Nickel,3 Deep
Bills,defense,Playbook 7,Dime,Normal
Bills,defense,Playbook 7,Dime,5-3
Bills,defense,Playbook 7,Dime,6-2
Bills,defense,Playbook 7,Dime,3 Deep
Bills,defense,Playbook 8,Goal Line Defense,5-3
Bills,defense,Playbook 8,Goal Line Defense,6-2
Bills,defense,Playbook 8,Goal Line Defense,3 Deep
Bills,defense,Playbook 9,Prevent,3 Deep
Broncos,offense,Playbook 4,Singleback,Bunch
Broncos,offense,Playbook 4,Singleback,Deuce Close
Broncos,offense,Playbook 4,Singleback,Tight Y Off
Broncos,offense,Playbook 4,Singleback,U Off Trio
Broncos,offense,Playbook 4,Singleback,Wing Close
Broncos,offense,Playbook 4,Singleback,Wing Flex Close
Broncos,offense,Playbook 4,Singleback,Wing Pair
Broncos,offense,Playbook 4,Singleback,Wing Tight Nasty
Broncos,offense,Playbook 4,Singleback,Box
Broncos,offense,Playbook 4,Singleback,Bunch Str Nasty
Broncos,offense,Playbook 4,Singleback,Bunch Wide Nasty
Broncos,offense,Playbook 4,Singleback,Doubles Hip
Broncos,offense,Playbook 4,Singleback,Empty Base Flex
Broncos,offense,Playbook 4,Singleback,Empty Chips Quads
Broncos,offense,Playbook 4,Singleback,Flex Y Off Wk
Broncos,offense,Playbook 4,Singleback,Split Flanker Close
Broncos,offense,Playbook 4,Singleback,Spread Dbl Flex
Broncos,offense,Playbook 4,Singleback,Tight
Broncos,offense,Playbook 4,Singleback,Tight Y Off Wk
Broncos,offense,Playbook 4,Singleback,Trey Open Hb Str
Broncos,offense,Playbook 4,Singleback,Trey Open Offset
Broncos,offense,Playbook 4,Singleback,Trey Y-Flex
Broncos,offense,Playbook 4,Singleback,Wing Flex Offset
Broncos,offense,Playbook 4,Singleback,Y Off Trio Wk
Broncos,offense,Playbook 4,Singleback,Close
Broncos,offense,Playbook 4,Singleback,Slot
Broncos,offense,Playbook 4,Singleback,Wing
Broncos,offense,Playbook 4,Singleback,Close Flex
Broncos,offense,Playbook 4,Singleback,Y Off Close
Broncos,offense,Playbook 4,Singleback,Close
Broncos,offense,Playbook 4,Singleback,Close Flex
Broncos,offense,Playbook 4,Singleback,Normal
Broncos,offense,Playbook 5,Shotgun,Box
Broncos,offense,Playbook 5,Shotgun,Bunch Str Nasty
Broncos,offense,Playbook 5,Shotgun,Bunch Wide Nasty
Broncos,offense,Playbook 5,Shotgun,Doubles Hip
Broncos,offense,Playbook 5,Shotgun,Empty Base Flex
Broncos,offense,Playbook 5,Shotgun,Empty Chips Quads
Broncos,offense,Playbook 5,Shotgun,Flex Y Off Wk
Broncos,offense,Playbook 5,Shotgun,Split Flanker Close
Broncos,offense,Playbook 5,Shotgun,Spread Dbl Flex
Broncos,offense,Playbook 5,Shotgun,Tight
Broncos,offense,Playbook 5,Shotgun,Tight Y Off Wk
Broncos,offense,Playbook 5,Shotgun,Trey Open Hb Str
Broncos,offense,Playbook 5,Shotgun,Trey Open Offset
Broncos,offense,Playbook 5,Shotgun,Trey Y-Flex
